Headline,Body ID,Stance
'Hairgate': iPhone hit by new social media storm,1923,unrelated
Apple Watch to reportedly offer 'Power Reserve' to help extend battery life,1857,unrelated
Nigeria says ceasefire agreed with Boko Haram,2191,discuss
Lynch Mob Castrates Alleged Rapist In Rajasthan,830,agree
Second person rushed to hospital with Ebola symptoms after contact with 'patient zero' Thomas Duncan,527,unrelated
UPDATE: BATMAN v SUPERMAN Batmobile Reportedly Stolen By (Shocker!) Detroit Locals,1177,discuss
Israeli Canadian fighting ISIS posts on Facebook: I'm safe and secure,2142,discuss
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",1458,unrelated
Jihadi John: Mohammed Emwazi named as masked man behind ISIS beheadings,961,unrelated
Tiger Woods serving secret PED suspension?,1406,unrelated
ISIS Appears To Behead American Photojournalist In YouTube Video,2524,discuss
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,1678,unrelated
Hero soldier Nathan Cirillo killed by convicted criminal Michael Zehaf-Bibeau,530,unrelated
HBO in talks with Apple to be launch partner for coming web service 'HBO Now',516,unrelated
"Man chops off own penis, throws it in a dustbin after poor show in bed",908,discuss
Shots Heard In Alleged Brown Shooting Recording [AUDIO],190,unrelated
Cameron vows to hunt down IS 'monsters' after Haines murder,657,discuss
Boko Haram denies ceasefire claim by Nigeria's government,244,unrelated
A Bogus Banksy,1532,agree
Dera Sacha Sauda Chief Forced Castration of 400 Devotees? CBI Files Case Against 'MSG: The Messenger of God' Actor,1950,unrelated
"Mass Graves Found In Mexico, Near Place Where 43 Students Went Missing",1740,unrelated
US confirms death of Somalia terror group leader,1024,discuss
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,381,unrelated
Missing Mexican students 'not found in mass grave',1912,discuss
ISIS Seemingly Beheaded American Journalist James Wright Foley,56,unrelated
Islamic State militants claim to behead missing American journalist,139,unrelated
"SMALL METEORITE STRIKES NICARAGUA, GOVERNMENT SAYS",816,unrelated
Canadian-Israeli woman reportedly kidnapped by ISIS: Jerusalem Post,1240,unrelated
'There is no limit to their depravity' Islamic State FEED mother her own SON,1442,discuss
James Foley beheading: London rapper turned jihadist believed to be under investigation for murder of journalist in Syria,1263,unrelated
"Is Apple about to launch a totally redesigned, 12-inch MacBook Air?",45,unrelated
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1906,unrelated
North Korea reportedly bans anyone sharing Kim Jong Un's name,2032,discuss
Turkish president says American weapons drop for Kurdish fighters was 'wrong' after supplies end up in the hands of ISIS,1485,discuss
Boko Haram 'to release abducted schoolgirls' as part of ceasefire agreement,1697,unrelated
New ISIS Video Shows Militants Seizing Weapons Airdropped By US Near Kobani,1785,unrelated
ISIL militant 'Jihadi John' named by media,2184,unrelated
Seth Rogen to play Woz in Jobs biopic,2137,unrelated
Media outlets identify 'Jihadi John',1424,discuss
Audio recording allegedly captures at least 10 shots fired in Michael Brown killing,1438,unrelated
Nasa questions whether crater in Nicaragua caused by meteorite,885,disagree
Mystery man slaps shoppers around head for sneezing,1603,unrelated
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",367,unrelated
Graffiti Artist Banksy Arrested In London; Identity Revealed,2051,unrelated
Audio may have captured Michael Brown shooting,1786,unrelated
"In Moscow, police are looking for a felon, cut the male genitals",1234,unrelated
"Boko Haram denies cease-fire, leader says he married off kidnapped girls",1019,unrelated
GCPD Solved Stolen Batmobile Case?,684,discuss
Predator drones being flown over Isil's Syrian 'capital',2469,discuss
'No hard evidence' of Isis claims it kidnapped Canadian-Israeli woman Gill Rosenberg,1808,unrelated
This Powerful Cartoon About The Charlie Hebdo Attack Is Not By Banksy,683,discuss
Dog abandoned at railway station with suitcase set for happy ending as offers pour in,2213,agree
Unconfirmed reports claim Canadian-Israeli Gill Rosenberg captured by ISIS,80,unrelated
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,972,unrelated
Shots Heard In Alleged Brown Shooting Recording [AUDIO],1426,discuss
Breaking: Soldier shot at National War Memorial in Ottawa,855,unrelated
Senator: Detainees swapped for Bergdahl have contacted militants,2207,discuss
"See How This Homeless Man Spends A Hundred Dollars, And Keep A Tissue Handy [Video]",1020,agree
CARLISLE HEAD SLAPPER ATTACKS SNEEZING WOMEN,1952,agree
Omsk schoolboy turned into a man-magnet after shock,308,unrelated
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,2386,discuss
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,1336,discuss
Batman Set To Play Steve Jobs In Upcoming Biopic,1839,unrelated
Eyewitness Says Viral Video of Homeless Man Was Staged,941,unrelated
ISIS Blasts 'Scorpion Bombs' At Civilian Areas In Iraq; Mosul Residents Living In Fear,1893,unrelated
Dog abandoned at Ayr station with belongings in suitcase,2483,agree
James Foley beheading: London rapper turned jihadist believed to be under investigation for murder of journalist in Syria,626,unrelated
Isis Syria News: Iraqi Pilots 'Training Isis Fighters' to Fly Captured Planes,2342,unrelated
Man chops off own penis after being dumped by his girlfriend,1649,unrelated
Robot security guards now patrolling Microsoft's Silicon Valley campus,1336,unrelated
Meet The College Student Who Claims She Was The ‘Teletubbies’ Sun Baby,1832,unrelated
"Nigeria claims deal with Boko Haram on ceasefire, kidnapped girls",1027,discuss
Isis tells mother on rescue mission :’You’ve just eaten your son’,900,unrelated
"No, Saudi TV Did Not Blur Out Images of Michelle Obama",2304,unrelated
Seth Rogen may play Steve Wozniak alongside Christian Bale as Steve Jobs,1058,unrelated
Robert Plant ripped up $800M Led Zeppelin reunion contract,1494,unrelated
Report: Taliban Detainee Swapped for Bowe Bergdahl Suspected of Trying to Return to Terrorism,1628,discuss
HBO Reportedly in Talks with Apple for Launch of New Unbundled Streaming Service,2028,unrelated
Apple may launch 12-inch MacBook Air with Retina Display,2329,unrelated
Lego letter from the 1970s still offers a powerful message to parents 40 years later,1385,discuss
ISIS chlorine attack on security forces confirmed – Iraq officials,2016,discuss
Alleged Audio of Michael Brown Shooting Doesn’t Sound Good for Officer Darren Wilson,2044,unrelated
"Would you pay $10,000 for the Apple Watch?",645,discuss
‘Jihadi John’: The Islamic State killer behind the mask is a young Londoner,2165,discuss
Dog found abandoned outside railway station with suitcase of his belongings,650,unrelated
TBS Is Probably Speeding Up ‘Seinfeld’ Reruns To Fit In More Commercials,691,agree
"No, a bird didn't poop on Vladimir Putin",1843,unrelated
Boko Haram ceasefire ignored as violence flares in Borno state,1372,unrelated
Someone painted a graffiti dick on a $2.5 million car,442,unrelated
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,1422,unrelated
Electric shock turns Russian boy into Marvel's Magneto,2109,agree
Kurds fear Isis use of chemical weapon in Kobani,639,unrelated
"BATMOBILE NOT STOLEN, MTV CONTEST PRIZE REMAINS UNCLAIMED",1751,unrelated
Islamic State 'training pilots to fly fighter jets',2362,unrelated
"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",2297,unrelated
"Forget 18-karat gold, next-generation Apple Watch Edition could use platinum: Report",692,unrelated
Fence-jumper ran through much of main floor of White House: report,1488,discuss
ISIS Beheads Kidnapped Photojournalist James Wright Foley in Horrific Video Message to the U.S.,2525,unrelated
"No, a spider (probably) didn't crawl through a man's body for several days",1848,unrelated
Isis tells mother on rescue mission :’You’ve just eaten your son’,1435,unrelated
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,1966,unrelated
"US Drones, Hunting for ISIS Leader, Seen Flying over Syrian Airspace",2443,unrelated
An Audio Recording of the Michael Brown Shooting Has Reportedly Surfaced,384,discuss
Has The Batman Vs. Superman Batmobile Been Stolen In Detroit?,1949,agree
Mexico Says Missing Students Not Found In First Mass Graves,2342,unrelated
"Vogue's Anna Wintour Pissed Off With New 1 World Trade Center Offices, Infested With Rats",1212,unrelated
'Feminist' Lana 'Aborts Baby Because It's A Boy' And Is Surprised By Backlash,1347,unrelated
"Viral Video Of Homeless Man Spending $100 On Food For Other Homeless Was Faked, Witness Says",2492,unrelated
LOL: RICH JOHNSTON SAYS THE BATMOBILE HAS BEEN STOLEN IN DETROIT,2519,agree
