Headline,Body ID,Stance
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,181,unrelated
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",75,unrelated
James Foley beheading: London rapper turned jihadist believed to be under investigation for murder of journalist in Syria,1303,unrelated
Kurds fear Isis use of chemical weapon in Kobani,595,unrelated
"It's 'rubbish' that Robert Plant turned down £500m Led Zeppelin reformation offer, says publicist",1492,disagree
YPG Confirms: Gill Rosenberg Not Captured in Kobani,2471,discuss
Seth Rogen to play Steve Wozniak alongside Christian Bale's Steve Jobs,1141,discuss
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",2068,unrelated
"Apple Reportedly Preparing 12-inch MacBook Air, Thinner and Lighter than Existing Models",972,unrelated
Militant Group Says It Killed American Journalist in Syria,1120,discuss
Rumor Fatigue Sets In at False Alarms of Castro’s Death,2221,discuss
Chinese advised to choose British-sounding names to get ahead,2526,discuss
Sugarhill Gang Rapper ‘Big Bank Hank’ Dies at 57,105,unrelated
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,2138,discuss
Rep. Duncan Hunter: 'At Least 10' ISIS Fighters Caught at Mexican Border,2213,unrelated
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,882,discuss
"Rats at Vogue's NYC offices - watch your step, Anna Wintour",2498,agree
Michael Phelps' self-proclaimed girlfriend says she was born a BOY and reveals 'amazing' sex with Olympian,1524,unrelated
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",2144,discuss
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,625,unrelated
Bodies In Mexico Mass Grave Apparently Not Those Of Missing Students,712,unrelated
Sugarhill Gang Rapper Big Bank Hank Dies at 57,752,unrelated
"Viral Video Of Homeless Man Spending $100 On Food For Other Homeless Was Faked, Witness Says",2252,unrelated
Iraq Denies Lebanon Captured Abu Bakr al-Baghdadi's Wife and Child,691,unrelated
"Macaulay Culkin NOT Dead: Facebook, Twitter Death Hoax Goes Viral",2341,agree
REPORT: Apple Isn't Happy With The Battery Life Of Its New Smartwatch,1708,unrelated
Michael Phelps' girlfriend was born male but did not tell swimmer about her past,1847,agree
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,242,unrelated
"Jess Smith, 19, Claims She Was Teletubbies' Giggling Baby: What Did She Get Paid?",1877,unrelated
"No, Jordan's King Abdullah II is not personally flying planes against Isis",17,unrelated
'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,804,unrelated
REPORTS: JORDANIAN KING PERSONALLY FLYING SORTIES AGAINST ISIS,803,unrelated
"SMALL METEORITE STRIKES NICARAGUA, GOVERNMENT SAYS",2154,discuss
Tim Cook Reportedly Reveals Apple Watch Waterproofing Has Improved,1034,unrelated
Banksy arrest hoax: US website claims street artist caught in Watford,1934,unrelated
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,938,unrelated
Resetting iOS 8 Preferences May Wipe iCloud Files,2033,discuss
Pentagon: ISIS seized materials airdropped to Kurds,757,unrelated
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',670,discuss
Former PGA Tour player: Tiger Woods suspended for drug test failure,173,unrelated
New Rumour Suggests Apple Watch to Launch in February,722,discuss
Man who slaps people around the head for sneezing hunted by police,2114,disagree
Video: Islamic State Claims to Have Captured US Weapons Airdrop Near Kobane,2200,discuss
Video Purports to Show Beheading of American Journalist,1166,unrelated
KIM DINE WITH ME: Porky president Kim Jong-un to open UK restaurant serving DOG,1222,disagree
Audio recording allegedly captures moment Michael Brown was shot,2434,discuss
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,2501,unrelated
Nigeria Claims Boko Haram Will Release the Kidnapped Schoolgirls,1372,unrelated
Mexican investigators fear mass grave might hold 43 missing students,2342,unrelated
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,1483,unrelated
'Spiderman' squished: Perth experts debunk spider burrowing claims,1709,unrelated
The Chinese Guide to Avoiding a Bad English Name,1644,unrelated
ISIL Beheads American Photojournalist in Iraq,1347,unrelated
U.S. Hostage Luke Somers Killed During Yemen Rescue Bid: Family,2495,unrelated
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,1821,discuss
Bodies In Mexico Mass Grave Apparently Not Those Of Missing Students,2272,unrelated
Tropical spider burrows under man's skin through scar,1848,unrelated
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",1549,unrelated
NBC weatherman caught urinating in the woods live on air,1372,disagree
Abdel Majed Abdel Bary Emerges as Suspect in Foley Beheading,616,discuss
What Glenn Beck Fears May Be Done With the 11 Missing Jets,1312,agree
David Haines beheading video confirmed genuine; UK PM Cameron vows to hunt down ISIS 'monsters',787,unrelated
"Yemen says U.S. man freed, sister says he’s dead",2411,unrelated
Nicaragua says meteorite probable cause of blast in capital,345,unrelated
Hundreds mourn the 'death' of Fidel Castro after rumours sweep Twitter (but are they confusing him with recently departed Fidel Castro Odinga from Nairobi?),2213,unrelated
"Google to buy big chunk of Pacific Shores, iconic Redwood City office park",1240,discuss
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,2087,unrelated
ISIS Reportedly Beheads American Photojournalist in Iraq,1116,discuss
ISIL video claims beheading of kidnapped journalist James Foley,2526,unrelated
Iraqi Official Dismisses ‘Unfounded’ Reports That ISIS Fighters Have Ebola,2078,unrelated
EXCLUSIVE: New York Mag’s Boy Genius Investor Made It All Up,2407,unrelated
White House fence-jumper made it far deeper into building than previously known,81,unrelated
Christian Bale quits Steve Jobs movie,662,unrelated
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1913,unrelated
Jeh Johnson shoots down Duncan Hunter's assertion IS is entering U.S. via Mexico,2385,unrelated
A Bunch Of People Thought Banksy Got Arrested But It Was A Hoax,77,discuss
U.S. arms airdrop fell into ISIS hands: Pentagon,1708,unrelated
ISIS Kobani Update: Possible ISIS Chemical Attack On Kurdish Civilians In Kobani,195,unrelated
Brian Williams slams social media for speculation weatherman Mike Seidel relieved himself on air,2034,unrelated
Pants on Fire: Duncan Hunter makes unconfirmed claim Border Patrol caught at least 10 ISIS fighters,186,unrelated
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,703,unrelated
BREAKING: British-born hostage 'KILLED in failed rescue attempt',1943,unrelated
Cameron vows to hunt down IS 'monsters' after Haines murder,1528,unrelated
11 jetliners 'missing' after Islamist takeover of airport,1384,unrelated
ISIS Appears To Behead American Photojournalist In YouTube Video,1982,unrelated
Soldier shot at War Memorial; multiple shots fired in Parliament,1325,unrelated
ISIS Militant “Jihadi John” Identified As Young West Londoner,1543,unrelated
Isis Syria News: Video Shows US Airdropped Weapons and Grenades 'Captured by Islamic State',1938,unrelated
Video Messaging App Says Audio Recording Of Michael Brown's Shooting Is Authentic,2187,unrelated
"White House Fence Jumper Got Farther Than Previously Thought, Sources Say",2303,discuss
"Texas Turkey Farm Contaminated With Ebola, Over 250,000 Holiday Turkeys Infected",2035,unrelated
Did a Meteorite Impact in Nicaragua over the Weekend?,2475,disagree
It’s Okay To Laugh About The Fact That The Vogue Rat Infestation is Getting Worse,1686,unrelated
Amazon to Open First Brick-and-Mortar Site,816,unrelated
"Mass Graves Found In Mexico, Near Place Where 43 Students Went Missing",61,unrelated
Isis video claims to show beheading of British hostage David Haines,15,unrelated
Another ISIS Massacre: ISIS Kills 300 Iraqi Soldiers With Chlorine Gas,2024,unrelated
Nasa’s ‘six days of total darkness in December 2014’ is a hoax,696,unrelated
James Foley executioner said identified as British rapper  Read more: James Foley executioner said identified as British rapper,181,unrelated
Shocking picture shows mother trying to sell her own son to pay for twin daughter's cancer treatment,350,unrelated
"Yang Hu, worker in Zhejiang, cuts off own penis over desperation of finding love",1567,unrelated
BREAKING: ISIS USES CHEMICAL WEAPONS – Murders 300 Iraqi Soldiers in Chlorine Gas Attack,969,discuss
"ISIS Claims an American Hostage, Kayla Mueller, Died in Airstrike in Syria",1881,discuss
Mirfield man's tears of joy after lost voicemail of wife retrieved,2227,unrelated
Kim Jong-un 'so fat he has fractured his ankles',1097,unrelated
Has The Batman Vs. Superman Batmobile Been Stolen In Detroit?,2072,discuss
"Rats at Vogue's NYC offices - watch your step, Anna Wintour",1815,unrelated
"Sorry, Fido. Pope Francis did NOT say our pets are going to heaven",1808,unrelated
Unconfirmed reports claim Canadian-Israeli Gill Rosenberg captured by ISIS,1690,discuss
'Jihadi John' identified: ISIS killer named as Mohammed Emwazi from West London,1465,unrelated
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,503,agree
"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",2211,disagree
British aid worker David Haines beheaded by ISIL,1477,unrelated
Media reports identify Londoner as Islamic State's ‘Jihadi John’,472,unrelated
Nun who gave birth ‘had no idea’ she was pregnant,1412,agree
Oscar winner Christian Bale to play Steve Jobs in upcoming biopic,1839,unrelated
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,1940,unrelated
"Tropical spider burrows under man's skin, lives there for three days",1708,unrelated
‘Jihadi John’: The Islamic State killer behind the mask is a young Londoner,961,unrelated
Apple Orders More Than 5 Million Watches for Initial Run,1940,unrelated
Islamic State 'training pilots to fly fighter jets',1608,discuss
7 teen girls get pregnant on school trip Read more at http://www.wnd.com/2014/12/7-teen-girls-get-pregnant-on-school-trip/#F5filOd6yFpASPV9.99,2022,unrelated
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,992,unrelated
Unconfirmed reports saying ISIS UK Hostage David Haines Beheaded,331,unrelated
Questions raised over Nicaragua 'meteorite',757,unrelated
Jihadi John ‘identified as British man from West London’,77,unrelated
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,722,unrelated
Bali Awry,1531,disagree
Steve Jobs Biopic Eyes Seth Rogen to Play Apple Co-Founder Steve Wozniak,887,unrelated
Man who slaps people around the head for sneezing hunted by police,1372,unrelated
Lynch mob use butcher's meat cleaver to castrate rapist they caught attacking teenage girl in alleyway in Indian city,1981,agree
Saudi Arabia Cleric Issues Fatwa Against Building Snowmen,1539,unrelated
God is a woman- Priest who died for 48 minutes claims,34,unrelated
Wife and son of Islamic State leader Abu Bakr al-Baghdadi detained in Lebanon,691,unrelated
Vigilantes cut off alleged rapist's penis,2072,unrelated
"Texas, Hold 'Em",638,unrelated
Confusion Surrounds Capture Of “ISIS Leader’s Wife”,1718,unrelated
Kim Jong-un So Fat He Injured His Ankles,2327,unrelated
Pumpkin Spice condoms? Don't fall for this hoax.,1586,unrelated
"Sorry, Fido. Pope Francis did NOT say our pets are going to heaven",2297,unrelated
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",2185,unrelated
Lucita Sandoval sex tape hoax: Viral Argentine video features college student ― not 16-year-old boy,1153,unrelated
Tropical spider burrows under man's skin through scar,1709,unrelated
Video shows ISIL beheading of photojournalist James Foley,1857,unrelated
Audio of gunfire in Michael Brown case authenticated by app company,1605,discuss
Banksy arrest hoax: US website claims street artist caught in Watford,2283,unrelated
Weather Channel’s Mike Seidel was not caught with his pants down,831,unrelated
YPG Confirms: Gill Rosenberg Not Captured in Kobani,2471,discuss
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,344,unrelated
North Korea denies reports Kim Jong-un is to open state-backed restaurant in Scotland,139,unrelated
ISIS Beheading of U.S. Journalist James Foley Posted to YouTube,2526,unrelated
Apple Watch battery will require nightly charging,574,discuss
Islamic State flying three jets in Syria: monitor,2406,discuss
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,2265,unrelated
Nicaragua says meteorite probable cause of blast in capital,816,unrelated
James Foley executioner said identified as British rapper  Read more: James Foley executioner said identified as British rapper,913,unrelated
Durex is not confirming or denying rumors of a “pumpkin spice” condom,1477,discuss
Small red book among finds in 113-year-old Boston time capsule,851,unrelated
Michael Brown shooting audio caught on tape?,968,unrelated
Apple in talks to become launch partner for cable-free HBO Now service,1074,discuss
James Foley remembered as 'brave and tireless' journalist,115,unrelated
Passenger Wears A Hazmat Suit To Dulles Airport,1826,agree
Emotional sergeant-at-arms is greeted back to parliament with a rousing standing ovation a day after he heroically shot dead terrorist - the first time he used weapon in 30 year career,1002,unrelated
Turkish president says American weapons drop for Kurdish fighters was 'wrong' after supplies end up in the hands of ISIS,1699,unrelated
Chugging eggnog sends Utah man to hospital,796,unrelated
That's one way to get through security! Frustrated traveller strips completely NAKED at airport to pass through metal detectors,1835,unrelated
Christian Bale in Talks to Play Steve Jobs (Exclusive),1789,unrelated
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,235,unrelated
Texas Truck Winds Up in Syria With Islamic Militants,367,unrelated
WHO says reports of suspected Ebola cases in Iraq are untrue,1372,unrelated
"Omar Gonzalez, White House Fence-Jumper, Made it Farther Inside",1426,unrelated
Robert Plant ripped up $800M Led Zeppelin reunion contract,692,unrelated
Hundreds of Palestinians flee floods in Gaza as Israel opens dams,993,unrelated
"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",723,unrelated
Kim Jong-Un 'in hospital with two fractured ankles' after ballooning to around 20 stone and going on numerous 'meet the people' walkabout PR stunts,524,unrelated
‘Photo of slain IS leader’ reported to be doctored,2187,discuss
Cheese blamed for North Korean leader Kim Jong-un's broken ankles,932,unrelated
Boko Haram denies ceasefire claim by Nigeria's government,35,unrelated
Priest' claim of seeing God as a woman dismissed as hoax,1877,disagree
"Batmobile Stolen From ""Batman v Superman: Dawn of Justice"" Set, Zack Snyder Knows Who Did It",621,unrelated
"Nun gives birth, intends to keep baby",2118,unrelated
"Sorry, KFC isn't going to be selling weed in Colorado restaurants",1843,unrelated
Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,2075,discuss
ISIS Seemingly Beheaded American Journalist James Wright Foley,2495,discuss
Christian Bale set to play Steve Jobs in forthcoming biopic of Apple co-founder,1234,unrelated
Apple Watch battery will require nightly charging,630,unrelated
Kim Jong-un: obese leader 'fractured both ankles',2441,unrelated
Hospital: Man not being treated for Ebola in Kansas City,1095,unrelated
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",2130,unrelated
Congressman: ‘At least 10 ISIS fighters’ caught trying to cross into US,871,discuss
WHO ‘probing’ whether ISIS fighters got Ebola,1899,discuss
"Canadian woman 'captured by ISIS in Syria' says she is actually fine and still fighting the jihadists, despite kidnap reports",2471,discuss
Missing American journalist reportedly beheaded by Islamic State ,1034,unrelated
"Man cuts off manhood, throws it in the bin, after girlfriend leaves over small penis",1347,unrelated
Texas City plumber's truck ends up in Syrian war,1252,unrelated
James Foley remembered as 'brave and tireless' journalist,1206,discuss
Nasa’s ‘six days of total darkness in December 2014’ is a hoax,664,unrelated
'There is no limit to their depravity' Islamic State FEED mother her own SON,2349,agree
Isilkulskom student has gained superhero powers after shock,573,unrelated
"Pizza delivery man gets tipped more than $2,000 for a single delivery",472,unrelated
Government employee fired after skipping work for 24 years,7,discuss
Unlucky in love man chops off own penis,1646,unrelated
Obama: murder of James Foley 'shocks the conscience of the entire world',1358,unrelated
Heartbroken girl spends week in KFC after getting dumped,1805,unrelated
Nicaraguan commission on possible meteorite crash presents rock samples,524,unrelated
Rapper identified as James Foley's executioner: reports,951,discuss
"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",1681,unrelated
Sugarhill Gang rapper Big Bank Hank dies aged 57,2035,agree
BREAKING: British-born hostage 'KILLED in failed rescue attempt',892,discuss
White House Fence Jumper Made It Further Into Building Than Reported,687,unrelated
"Dogs DO go to heaven… and cats, and horses: Pope assures young boy that there is a place in paradise for animals as well",1104,unrelated
"Report: Apple Watch to start at $500 in stainless steel, thousands for gold model",1598,unrelated
"The rapper, the hacker and the terror travel guide writer. Is one of these British extremists Jihadi John? Three potential Islamic State 'Beatles' emerge as MI5 'zeroes in' on murderer who beheaded U.S. journalist James Foley",2295,discuss
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),1835,unrelated
"Kayla Jean Mueller, U.S. hostage, killed in Jordan airstrike, ISIS claims",1260,unrelated
Michael Phelps’ alleged girlfriend says she was born intersex,2528,discuss
Isis claims it has US airdrop of weapons,816,unrelated
Media reports identify Londoner as Islamic State's ‘Jihadi John’,1424,discuss
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,633,disagree
ISIS Claims To Have Captured US Airdrop Weapons,1026,unrelated
Soldier shot near Canadian parliament building,1905,unrelated
Predator Drone Reportedly Spotted Over ISIS Hotbed in Syria; Airstrikes Hit ISIS Targets,2469,unrelated
"Dead for 48 minutes, this Catholic Priest claims God is female",1521,disagree
ISIS Video Purports To Show Beheading Of British Aid Worker,1477,unrelated
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",1498,agree
ISIS Beheads Kidnapped Photojournalist James Wright Foley in Horrific Video Message to the U.S.,2096,discuss
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,298,unrelated
ISIS Getting Ebola,2138,discuss
Judd Nelson isn't dead; report is a hoax,2278,agree
Man chops off own penis after being dumped by his girlfriend,413,unrelated
REPORT: The Batmobile Might Have Been Stolen In Detroit,1237,discuss
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,1116,discuss
Seth Rogen to play Woz in Jobs biopic,1374,unrelated
"Rumor: Apple shooting for 19 hours of Apple Watch battery life under normal conditions, 2.5 hours 'heavy' use",1153,discuss
Apple Watch won’t be the digital doctor it could have been,652,discuss
Christian Bale will not play Steve Jobs,1294,unrelated
Josh Paler Lin Gives A Homeless Man $100 And Follows Him To See How He Spends It,2305,disagree
"Meteorite makes big crater in Nicaragua, government says",2264,discuss
"Vogue's Anna Wintour Pissed Off With New 1 World Trade Center Offices, Infested With Rats",1372,unrelated
Did Paul Rudd Help Tackle That Dallas Airport Gay-Basher?,2081,unrelated
Kim Jong-un 'set to open a new restaurant in SCOTLAND',2418,discuss
"Islamic State training pilots to fly MiG fighter planes, says monitoring group",2068,discuss
Bali spider burrows under Aussie’s chest,1602,disagree
NASA Confirms Earth Will Experience 6 Days of Total Darkness in December 2014!,521,unrelated
PGA Tour Denies Claim That Tiger Woods Failed A Drug Test,2134,unrelated
"Islamist Militants 'Steal' 11 Commercial Planes In Libya, Sparking Terror Attack Fears",126,unrelated
North Korean dictator Kim Jong-Un to open restaurant in Scotland,564,unrelated
Is this the world's oldest burger? Man claims to have kept McDonald's Quarter Pounder for 20 YEARS,2474,agree
BREAKING NEWS: Gunman 'shot dead' after wounding soldier near Canada parliament,1325,unrelated
Michael Brown shooting audio caught on tape?,1403,unrelated
Terrorism fears rise amid reports of stolen jetliners,1958,unrelated
Daash Ebola transferred to Mosul {Google Translate],1004,unrelated
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,2115,agree
Second person rushed to hospital with Ebola symptoms after contact with 'patient zero' Thomas Duncan,844,unrelated
Michelle Obama's Hair Appeared Totally Uncensored on Saudi TV,1342,unrelated
Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,1385,discuss
"Apple to Take Reservations for Trying On Apple Watch, Considered Platinum Model",93,unrelated
Reports: Boko Haram may release schoolgirls as part of deal,1541,unrelated
No - a Fox News Twitter account isn't responding to tweets on the #FoxNewsFacts hashtag,387,disagree
'No hard evidence' of Isis claims it kidnapped Canadian-Israeli woman Gill Rosenberg,777,unrelated
CNN Posts Alleged Audio of Michael Brown Shooting,1446,discuss
ESPN’s All-Male “Monday Night Football” Panel On Domestic Violence Is Not Real,610,disagree
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",573,agree
Homeland Security says terrorists haven't crossed U.S-Mexico border,1890,discuss
Wife and child of Islamic State leader Baghdadi held in Lebanon,2283,discuss
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,564,unrelated
The baby from Teletubbies reveals herself,837,unrelated
Attorney: New audio reveals pause in gunfire when Michael Brown was shot,1299,unrelated
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,1819,disagree
