Headline,Body ID,Stance
"Nun gives birth, intends to keep baby",1744,unrelated
Pentagon: Somali terror group leader killed in U.S. airstrike,1853,unrelated
Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,2134,unrelated
Boko Haram denies truce to release kidnapped schoolgirls,2156,unrelated
Star Wars: The Force Awakens to be released this summer?,2360,unrelated
"No, a bird didn't poop on Vladimir Putin",195,unrelated
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,2191,discuss
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,2307,unrelated
Brian Williams Demands Apology From Social Media Over Erroneous Urination Reports (Video),831,unrelated
New York City Plans to End Arrests for Possession of Small Amounts of Marijuana,269,unrelated
"Whoa, Paul Rudd Was One of the Airport Heroes Who Took Down the Homophobe",487,unrelated
"Tom Brokaw 'wants Brian Williams out': NBC legend 'furious' at Iraq war lie, as it's claimed executives warned anchor to stop exaggerating the story in the past",1492,unrelated
"Report: The Apple Watch Will Only Last 2.5 Hours With ""Heavy"" Use",367,unrelated
Emotional sergeant-at-arms is greeted back to parliament with a rousing standing ovation a day after he heroically shot dead terrorist - the first time he used weapon in 30 year career,1549,unrelated
Pentagon Denies It Killed ISIS Chief As Airstrikes Hit Top Extremists,1466,discuss
CNN Airs Alleged Audio from Michael Brown Shooting,2313,unrelated
Zack Snyder Responds to Fake Stolen Batmobile Report,1494,unrelated
That’s one way to clean it: Apple Watch will reportedly survive a trip through the shower,62,unrelated
Islamic State claims to have beheaded American journalist,2147,discuss
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1721,discuss
"Video Appears to Show Beheading of Journalist James Foley, Who Went Missing in Syria",511,unrelated
Islamic State reports youngest jihadist 'martyred' in battle,2016,unrelated
Macaulay Culkin dead hoax: Fake death report spreads on social networks,2022,unrelated
Vogue's new digs are reportedly swarming with rats,2064,discuss
Tropical spider burrowed under Bali tourist's skin,1375,unrelated
I aborted my baby because it was a boy,1363,unrelated
"Mexico hit by student massacre: At least 17 anti-corruption protesters 'rounded up, murdered and dumped in a mass grave' - and another 26 are missing",1678,unrelated
Banksy's illustrated response to the Charlie Hebdo attack isn't by Banksy. But it is striking,1177,unrelated
"Christian Bale in talks to play Steve Jobs for Sony, Danny Boyle",1294,unrelated
Two blokes dared to eat 20-year-old burger for charity,2197,unrelated
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",794,disagree
Real-life Magneto boy 'becomes living magnet' after getting massive electric shock from street lamp,308,unrelated
British aid worker David Haines beheaded by ISIL,882,unrelated
Weather Channel’s Mike Seidel was not caught with his pants down,381,unrelated
"NYPD to issue tickets instead of arrest for weed possession, report says",1528,unrelated
DHS: GOP Rep.’s Claim ISIS Members Caught at U.S. Border ‘Categorically False’,1148,unrelated
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,2047,discuss
Rumors about Fidel Castro’s death again circulate on the Internet,1439,unrelated
"No, That Wasn’t Paul Rudd Tackling an Airport Homophobe",176,agree
Meteor Leaves 40-Foot Crater Near Managua's Airport,1528,unrelated
Audio of gunfire in Michael Brown case authenticated by app company,121,unrelated
Christian Bale to play Steve Jobs in upcoming biopic,687,unrelated
ISIS fighters ‘have contracted Ebola’,2197,unrelated
Journalist James Wright Foley reportedly beheaded by ISIS,1358,unrelated
400 men cut their testicles off believing it would help them meet God,1572,unrelated
"North Korean leader Kim Jong-un not missing, just having ankle surgery",1854,discuss
Islamic State May Have Fighter Jets Now After Seizing Russian-Made MiGs,777,unrelated
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,2196,unrelated
Small Meteorite Hits Managua,1744,unrelated
