Headline,Body ID,Stance
Nigeria says ceasefire agreed with Boko Haram,125,unrelated
"Apple Watch to Feature Time-Only 'Power Reserve' Mode, Prototypes Disguised as Samsung Watches",1223,unrelated
Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,2367,unrelated
"Omar Gonzalez, White House Fence-Jumper, Made it Farther Inside",1804,unrelated
This Powerful Cartoon About The Charlie Hebdo Attack Is Not By Banksy,712,discuss
White House Fence Jumper Made It Further Into Building Than Reported,1804,unrelated
'Spiderman' squished: Experts debunk claims,214,unrelated
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",1419,discuss
Missing Libyan aircraft spark fears of 9/11-style attack in North Africa,1575,unrelated
Rat problem worsens at One World Trade Center offices of Conde Nast,387,unrelated
US officials: Video shows American's execution,368,unrelated
British-born rapper is main suspect in search for ISIS jihadist who beheaded James Foley,1202,discuss
Is Kim Jong-Un Really Opening a Restaurant in Scotland?,2192,discuss
"Batmobile Stolen From ""Batman v Superman: Dawn of Justice"" Set, Zack Snyder Knows Who Did It",1939,unrelated
"Meet Magneto Boy, the kid who attracts metal with his body",2203,agree
"Boko Haram leader denies ceasefire deal, says 200 abducted girls married off ",125,unrelated
WHO ‘probing’ whether ISIS fighters got Ebola,699,unrelated
IS Fighters Seize Weapons Cache Meant for Kurds,2176,unrelated
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1873,unrelated
"Forty years ago, Lego wrote a powerful letter to parents about how gender works",2412,unrelated
Christian Bale to play Steve Jobs in upcoming biopic,137,unrelated
"Hostage David Haines' Murder 'Evil', PM Says",588,agree
Seth Rogen reportedly nabs Steve Wozniak role in Steve Jobs filmSteve Jobs Iconic Moments,2272,unrelated
"Kurt Sutter Announces Plans For ‘Sons Of Anarchy’ Movie Starring Charlie Hunnam, Brad Pitt",2141,agree
"A message from Jim's mom, Diane Foley:",1549,unrelated
Rumors of ISIS leader's death debunked,789,unrelated
Priest who died for 48 minutes says he met God and she’s a woman,244,disagree
Meteorite strike in Nicaragua puzzles experts,1179,unrelated
Emotional sergeant-at-arms is greeted back to parliament with a rousing standing ovation a day after he heroically shot dead terrorist - the first time he used weapon in 30 year career,2521,unrelated
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",121,unrelated
Christian Bale in Talks to Play Steve Jobs (Exclusive),571,unrelated
iPhone Game Developer Quits Job By Hiding The Greatest Letter Of Resignation Ever Inside His Game,651,unrelated
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,1374,unrelated
Would-be rapist has penis severed by angry mob,2526,unrelated
"Apple Watch Pricing to Reportedly Start at $500 for Stainless Steel, $4,000 for Gold",521,discuss
Vigilantes cut off alleged rapist's penis,2523,unrelated
Nicaragua asks U.S. for help investigating meteorite crater,1627,unrelated
WHO investigates media reports ISIS fighters contracted Ebola,2003,discuss
"So, There Might Be a Rat Infestation at Vogue",959,discuss
Batmobile Rumored To Have Been Stolen From Batman V. Superman: Dawn Of Justice Set,2062,discuss
US hostage Luke Somers dies after rescue bid,1500,unrelated
"Jihadi John named as Mohammed Emwazi, from west London",961,unrelated
SEND IN THE DRONES: Predator drones flown over IS headquarters in Syria,1368,unrelated
Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',2524,discuss
"Despite ceasefire announcement, new Boko Haram attacks reported",2530,discuss
IS Fighters Seize Weapons Cache Meant for Kurds,879,unrelated
"Gill Rosenberg, Canadian citizen, reportedly captured by ISIS in Syria",1976,discuss
REPORT: Apple Isn't Happy With The Battery Life Of Its New Smartwatch,1069,unrelated
Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,1179,unrelated
Vice CEO Throws Down $300K on Lavish Vegas Dinner,1176,unrelated
Soldier shot near Canadian parliament building,1549,unrelated
"It was me! Student, 19, reveals SHE was the Teletubbies' giggling baby in the sky - and was paid just £250 and a box of toys",470,discuss
Has Ebola infected Isis militants in Mosul?,789,unrelated
ISIS Video Purports To Show Beheading Of British Aid Worker,2034,unrelated
Zack Snyder Responds to Fake Stolen Batmobile Report,1435,unrelated
Report: Christian Bale Just Bailed on the Steve Jobs Movie,35,unrelated
Abdel-Majed Abdel Bary: London Rapper Identified As ISIS Militant Who Beheaded James Foley,850,discuss
Obama denounces killing of journalist James Foley and pledges ‘justice’,11,unrelated
US Marine survives headshot from Taliban (video),320,unrelated
Amazon's first brick-and-mortar store said to open in Manhattan,195,unrelated
Luke Somers 'killed in failed rescue attempt in Yemen',1500,unrelated
"No, Vladimir Putin did not get pooped on by a bird during a First World War speech",2174,disagree
Predator drones being flown over Isil's Syrian 'capital',1501,discuss
Lebanon 'holding IS leader's daughter and ex-wife',1686,unrelated
Christian Bale Won't Play Steve Jobs After All,1296,unrelated
Seth Rogen Is Woz,704,disagree
"Dogs DO go to heaven… and cats, and horses: Pope assures young boy that there is a place in paradise for animals as well",1651,disagree
US officials: Video shows American's execution,2127,unrelated
#Hairgate: iPhone 6 users say device pulls out hair,513,unrelated
BATMAN VS. SUPERMAN BATMOBILE STOLEN,2135,discuss
ISIS Militants Allegedly Contracted Ebola,1361,unrelated
"Insiders Claim Steel Apple Watch to Start at $500, Gold at $4,000",2365,discuss
"Absent from duty for 25 years, CPWD official dismissed",217,unrelated
Moment U.S. Marine is saved by his Kevlar helmet as Taliban sniper bullet hits him in head,2421,unrelated
