1,unrelated
2,unrelated
3,unrelated
12,unrelated
19,discuss
20,unrelated
21,unrelated
28,unrelated
31,discuss
33,unrelated
37,unrelated
38,unrelated
39,unrelated
42,unrelated
46,unrelated
49,discuss
50,unrelated
52,unrelated
57,unrelated
58,unrelated
64,agree
66,discuss
67,unrelated
69,unrelated
71,discuss
73,unrelated
79,unrelated
85,unrelated
90,unrelated
92,unrelated
94,unrelated
96,unrelated
97,unrelated
98,unrelated
100,unrelated
101,discuss
102,discuss
103,unrelated
106,agree
111,unrelated
113,unrelated
122,unrelated
123,agree
127,agree
128,unrelated
129,agree
131,discuss
133,unrelated
138,discuss
141,unrelated
143,agree
145,unrelated
150,unrelated
153,discuss
157,unrelated
160,unrelated
163,unrelated
164,unrelated
165,agree
166,unrelated
172,unrelated
174,discuss
177,agree
178,unrelated
180,unrelated
182,unrelated
183,unrelated
184,discuss
191,agree
192,unrelated
196,unrelated
197,unrelated
201,unrelated
202,unrelated
207,unrelated
211,unrelated
215,discuss
216,discuss
222,unrelated
223,unrelated
231,unrelated
233,agree
237,agree
238,unrelated
245,discuss
246,unrelated
248,discuss
249,unrelated
250,agree
252,unrelated
253,discuss
256,unrelated
257,discuss
259,unrelated
261,discuss
262,unrelated
264,discuss
268,unrelated
270,agree
274,unrelated
