Headline,Body ID,Stance
Isis tells mother on rescue mission :’You’ve just eaten your son’,1299,unrelated
"Seven High School Girls Get Pregnant On Five-Day School Trip, Parents Outraged",1804,agree
iPhone Game Developer Quits Job By Hiding The Greatest Letter Of Resignation Ever Inside His Game,2458,agree
Ebola Frisco 2014: Patient Shows Virus Symptoms After Apparent Thomas Eric Duncan Contact,381,unrelated
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",2152,unrelated
Seth Rogen To Play Steve Wozniak In Steve Jobs Biopic,712,discuss
Wife and child of Islamic State leader Baghdadi held in Lebanon,170,unrelated
Conflicting reports on alleged IS capture of Canadian woman,777,unrelated
Video Messaging App Says Audio Recording Of Michael Brown's Shooting Is Authentic,2481,discuss
Photo gallery: Amazing £300 operation by North Walsham vet on constipated goldfish,1372,unrelated
"Islamist Militants 'Steal' 11 Commercial Planes In Libya, Sparking Terror Attack Fears",1312,discuss
Soldier shot in Ottawa at War Memorial,0,unrelated
Mexico police find mass grave near site 43 students vanished,1351,unrelated
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",2367,disagree
"Jess Smith, 19, Claims She Was Teletubbies' Giggling Baby: What Did She Get Paid?",169,unrelated
"Pictured: Heroic sergeant-at-arms, 58, walking through Parliament gun in hand just moments after he killed gunman Michael Zehaf-Bibeau",1002,unrelated
Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,1744,discuss
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",1982,unrelated
"""Categorically False"": DHS Debunks Right-Wing Fiction That ISIS Attempted To Cross The U.S.- Mexico Border",1398,discuss
Iraq: US to Probe ISIS' Chlorine Attack on Iraqi Security Personnel,2002,discuss
"Kevin Vickers, Sergeant-At-Arms, Shoots a Shooting Suspect in Ottawa; Called a ‘Hero’",1586,unrelated
Paul Rudd Is Not the Viral Video Hero Who Tackled a Gay Basher in Dallas,2514,disagree
"Report: ISIS kidnaps Canadian-Israeli, former IDF soldier who went to fight with the Kurds",214,unrelated
"Hundreds of dog-lovers from around the world offer home to pet abandoned at the railway station with a suitcase containing his pillow, toy, bowl and favourite food",391,unrelated
Islamic State militants claim to behead missing American journalist,539,unrelated
This Woman Is Wrongly Being Called A Sexual Predator After Her Private Sex Tape Was Used For A Hoax,1608,unrelated
Michael Brown shooting audio caught on tape?,944,discuss
Elderly Woman Arrested for Kidnapping Neighbor’s Cats & Making Fur Coats,1948,unrelated
Small Meteorite Strikes in Nicaragua's Capital City of Managua,1900,unrelated
"Homeless man who became a YouTube sensation after spending $100 on food for his beggar friends gets a surprise Christmas meal, makeover and night in a hotel in new video... but is it all a hoax by a 'serial prankster'?",320,unrelated
Seven teenage girls get pregnant on school trip,499,unrelated
Meteorite 'caused mysterious boom in Nicaragua',2264,discuss
WHO: Reports of Suspected Ebola Cases in Iraq Untrue,93,unrelated
British rapper a suspect in ISIS beheading,591,unrelated
Wife and son of Islamic State leader Abu Bakr al-Baghdadi detained in Lebanon,1913,unrelated
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,1575,discuss
"Vice CEO Shane Smith reportedly spent $300,000 on a steak dinner at CES",2251,unrelated
Islamic State reports youngest jihadist 'martyred' in battle,1261,unrelated
Hundreds mourn the 'death' of Fidel Castro after rumours sweep Twitter (but are they confusing him with recently departed Fidel Castro Odinga from Nairobi?),2221,discuss
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,2524,agree
Alleged audio of Michael Brown shooting released,662,unrelated
