Headline,Body ID,Stance
NET Extra: Back-from-the-dead Catholic priest claims God is a female...,321,unrelated
"Vice Media Chief Said to Pay $300,000 for Dinner for 30",377,discuss
An accidental delivery of arms to the Islamic State and the problem with airdrops,1239,unrelated
Sugarhill Gang’s Big Bank Hank dead at 57,2340,agree
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,1361,discuss
Weather Reporter Caught Writing His Name In The Snow Was NOT Ready To Go On Camera (UPDATED),2092,unrelated
Chinese advised to choose British-sounding names to get ahead,1125,unrelated
Now the Vogue Rats Are Chewing Through Couture,2031,agree
Low-level marijuana possession could soon land you a ticket instead of arrest in New York City,1383,unrelated
Video Purports To Show Beheading Of U.S. Journalist By Militants,1361,discuss
Audio may have captured Michael Brown shooting,1950,unrelated
Alleged audio of Michael Brown shooting has surfaced,662,unrelated
Iraqi and Kurdish media reports cases of Ebola among Islamic State fighters in Mosul,2060,discuss
"Boko Haram Denies Truce, Says Kidnapped Girls Have Been “Married Off”",2191,discuss
Michael Phelps' self-proclaimed girlfriend says she was born a BOY and reveals 'amazing' sex with Olympian,2480,unrelated
$YUM Serving Up #Marijuana & Fried Chicken,2034,unrelated
Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,431,unrelated
"These LEGO Instructions from 1974 Are Awesome (And Yes, They're Real)",451,unrelated
Government fires employee who skipped work for 24 years,1242,unrelated
Kim Jong-un: obese leader 'fractured both ankles',1854,discuss
Report of Kim Jong-un’s ankle injury add fuel to rumours about his absence,818,unrelated
Journalist James Wright Foley reportedly beheaded by ISIS,1966,discuss
US airstrike targets Al Shabaab leader Ahmed Abdi Godane in Somalia,1746,unrelated
Missing Mexican students 'not found in mass grave',529,unrelated
The Guy Who Said a Spider Burrowed Under His Skin? Experts Say…,1549,disagree
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",2287,unrelated
Has North Korean dictator Kim Jong-un been replaced by his sister?,132,discuss
Boko Haram 'to release abducted schoolgirls' as part of ceasefire agreement,206,unrelated
ISIS Blasts 'Scorpion Bombs' At Civilian Areas In Iraq; Mosul Residents Living In Fear,121,unrelated
Cloistered nun has a stomach ache  hospital gives birth to a baby [Google Translate],359,unrelated
Is the Alleged Audio of the Gunshots That Killed Michael Brown a Hoax?,346,unrelated
Web of confusion as scientists cast doubt on man's claims that a spider burrowed into his stomach through his SCAR,1422,unrelated
New iOS 8 bug can delete all of your iCloud documents,1413,unrelated
Pentagon Denies It Killed ISIS Chief As Airstrikes Hit Top Extremists,1921,unrelated
Nicaraguan commission on possible meteorite crash presents rock samples,2475,unrelated
"Apple Watch to Feature Time-Only 'Power Reserve' Mode, Prototypes Disguised as Samsung Watches",78,unrelated
"Priest Dies, Wakes Up, Claims God Is a Woman. Huh?",760,unrelated
Christian Bale quits Steve Jobs movie,958,unrelated
Tiger Woods selling Swedish villa — island included,240,unrelated
Newly Discovered Mass Grave Linked to Missing Mexican Students,2360,unrelated
"Boko Haram agrees to ceasefire, release of school girls",2045,unrelated
Kimye’s Fault? Anna Wintour’s NYC ‘Vogue’ Offices Hit With Disgusting Rat Infestation: ‘Rat Droppings On Desks’,2498,agree
"Lady on FB: I'm 41, Intersex, and Fucked Michael Phelps on First Date",712,unrelated
"Apple Media Event Rumored for Late February, Apple Watch and 12"" MacBook Air Likely Topics [Updated]",844,unrelated
Missing jetliners raise fear of new 9/11-style attacks after Libyan airport falls to Islamic militants,1489,unrelated
ISIS Beheads American Journalist,1966,discuss
Customer: I was fired for Comcast complaint,1814,disagree
Russian Yeti Or Bigfoot Hoax? New Footage Sparks Debate,1331,unrelated
Pictured: Recent Muslim convert Michael Zehaf-Bibeau who shot dead a solider and opened fire on Canadian Parliament,2214,agree
"What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow",8,disagree
CNN Expert on Brown Audio: At First I Thought ‘Someone’s Trying to Punk CNN’,958,unrelated
This Guy Paid Off His Parents’ Mortgage For Christmas,648,unrelated
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",115,unrelated
"Nigeria Says It Struck A Cease-Fire With Boko Haram, But Are They Talking To The Right Guy?",1340,discuss
Iraqi media: ISIS militants have contracted Ebola,658,unrelated
Popular 'Banksy' Instagram account offers powerful message of perseverance after Paris attack,176,unrelated
That powerful Lego letter to parents from the 1970s? It's real,2171,agree
This Is What It Looks Like When A Son Pays Off His Parents’ Mortgage As A Christmas Present,2187,unrelated
Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,132,unrelated
"White House Fence-Jumper Overpowered Secret Service Officer, Ran Through Much of Main Floor",1916,unrelated
Here's video of a bird pooping on Vladimir Putin in the middle of a speech,1813,disagree
Saudi Arabia Cleric Issues Fatwa Against Building Snowmen,1266,agree
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,2252,unrelated
"Wildest Apple Watch rumor yet: 100,000 apps at launch",43,unrelated
‘Evil straight from the pits of hell': American journalist James Foley reportedly beheaded by ISIS,1295,unrelated
Viral Photo Shows How Chinese Workers Are Used to Manipulate App Store Rankings,1711,discuss
NYC High School Student Nicknamed ‘Teen Wolf’ Made $72 Million On Stock Market,1439,unrelated
"Priest Dies, Wakes Up, Claims God Is a Woman. Huh?",1605,unrelated
"US hostage 'murdered' by militants in Yemen, says Hagel",120,unrelated
That’s one way to clean it: Apple Watch will reportedly survive a trip through the shower,1155,unrelated
"BREAKING: Islamic State, in video, beheads American journalist James Wright Foley who was kidnapped in 2012 -@BNONews",2147,unrelated
Tiger Woods selling Swedish villa — island included,2502,unrelated
Comcast calls rumor that it disconnects Tor users “wildly inaccurate”,1280,unrelated
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,1697,unrelated
People On Twitter Think Macklemore Has Joined ISIS,1483,agree
"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",481,discuss
Two blokes dared to eat 20-year-old burger for charity,93,unrelated
7 Bosnian teens get pregnant on school trip,2022,unrelated
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,724,unrelated
ISIS Appears To Behead American Photojournalist In YouTube Video,533,unrelated
This Powerful Cartoon About The Charlie Hebdo Attack Is Not By Banksy,1419,discuss
Dog abandoned at railway station with suitcase set for happy ending as offers pour in,382,unrelated
"Rajasthan: Man Tries to Rape Teenager, Angry Mob Chops His Penis Off",1981,agree
Conflicting reports on alleged IS capture of Canadian woman,387,unrelated
The Chinese Guide to Avoiding a Bad English Name,2028,unrelated
